actor_id,actor_name,degree_centrality,betweenness_centrality,degree
nm0000161,Salma Hayek,0.0021646973933435554,0.001294656355482775,72
nm0000547,Alfred Molina,0.0021947626349177714,0.0011623435474947576,73
nm0001691,Geoffrey Rush,0.0016836535281560987,0.0013075426498656286,56
nm0535502,Mía Maestro,0.0005411743483358888,0.00015858529413087744,18
nm0000136,Johnny Depp,0.002525480292234148,0.0010553473516700938,84
nm0001287,Heather Graham,0.0028561979495505246,0.0014182540134112065,95
nm0000453,Ian Holm,0.0005712395899101049,9.85274437307385e-05,19
nm0001059,Robbie Coltrane,0.0002705871741679444,7.872491238674659e-06,9
nm0565569,Stephen McHattie,0.0013830011124139382,0.0012058083760333844,46
nm0364977,Laura Harris,0.0005411743483358888,0.0001650189384232814,18
nm0000594,Jason Priestley,0.0003607828988905926,3.864739469604068e-05,12
nm0941315,Gordon Michael Woolvett,9.019572472264814e-05,0.0,3
nm0000704,Elijah Wood,0.001894110219175611,0.002731701218270319,63
nm0005212,Ian McKellen,0.0014130663539881543,0.0002955256670282428,47
nm0089217,Orlando Bloom,0.001322870629265506,0.00079688207344413,44
nm0000293,Sean Bean,0.002044436427046691,0.0018399048945385058,68
nm0001111,Jeremy Davies,0.0007215657977811852,6.838806857630429e-05,24
nm0000170,Milla Jovovich,0.0017738492528787469,0.00058777975524509,59
nm0001751,Jimmy Smits,0.0002705871741679444,6.949802820197309e-06,9
nm0000129,Tom Cruise,0.0017137187697303148,0.00048042262658818557,57
nm0779084,Dougray Scott,0.0014130663539881543,0.0005863209380106808,47
nm0628601,Thandiwe Newton,0.0017738492528787469,0.0008438512809902254,59
nm0000609,Ving Rhames,0.0027359369832536604,0.0037279710681434593,91
nm0735442,Michelle Rodriguez,0.0016235230450076666,0.0011906604230533916,54
nm1011675,Ryan McCluskey,9.019572472264814e-05,0.0,3
nm0668994,Oscar Pearce,9.019572472264814e-05,0.0,3
nm0000228,Kevin Spacey,0.001864044977601395,0.0013633408988531531,62
nm0000194,Julianne Moore,0.0033071765731637654,0.001236290113195222,110
nm0001132,Judi Dench,0.0016235230450076666,0.0010380387521356552,54
nm0000949,Cate Blanchett,0.003186915606866901,0.001242803195835221,106
nm0184392,Martin Kove,0.0033372418147379814,0.005119563466405677,111
nm0566044,Tane McClure,0.00015032620787108024,4.683240759527171e-06,5
nm0007940,Bruce Abbott,0.0001803914494452963,2.9525824178835987e-05,6
nm0120494,Robert Z'Dar,0.0015032620787108024,0.0020419309220372716,50
nm0001772,Patrick Stewart,0.0015032620787108024,0.0014988974173832782,50
nm0000463,Famke Janssen,0.0021346321517693393,0.001340474749789082,71
nm0000169,Tommy Lee Jones,0.001833979736027179,0.0003778536620732426,61
