actor_id,actor_name,genres
nm0202966,Keith David,"['Action', 'Horror', 'Sci-Fi']"
nm0000652,James Spader,"['Horror', 'Sci-Fi', 'Thriller']"
nm0004906,Peter Facinelli,"['Horror', 'Sci-Fi', 'Thriller']"
nm0000677,Robin Tunney,"['Horror', 'Sci-Fi', 'Thriller']"
nm0000291,Angela Bassett,"['Horror', 'Sci-Fi', 'Thriller']"
nm0380231,Blake Heron,"['Drama', 'Family', 'Western']"
nm0553436,A Martinez,"['Drama', 'Family', 'Western']"
nm0575184,Russell Means,"['Drama', 'Family', 'Western']"
nm0836071,Wes Studi,"['Drama', 'Family', 'Western']"
nm0001606,Chris Penn,"['Crime', 'Drama']"
nm0942482,Jeffrey Wright,"['Crime', 'Drama']"
nm0220867,Anthony DeSando,"['Crime', 'Drama']"
nm0000145,Sherilyn Fenn,"['Crime', 'Drama']"
nm0000123,George Clooney,"['Comedy', 'Crime', 'Romance']"
nm0001876,Catherine Zeta-Jones,"['Comedy', 'Crime', 'Romance']"
nm0000671,Billy Bob Thornton,"['Comedy', 'Crime', 'Romance']"
nm0001691,Geoffrey Rush,"['Comedy', 'Crime', 'Romance']"
nm0000177,Kevin Kline,"['Adventure', 'Animation', 'Comedy']"
nm0000110,Kenneth Branagh,"['Adventure', 'Animation', 'Comedy']"
nm0001609,Rosie Perez,"['Adventure', 'Animation', 'Comedy']"
nm0000800,Armand Assante,"['Adventure', 'Animation', 'Comedy']"
nm0562924,Whitman Mayo,['Drama']
nm0333318,April Grace,['Drama']
nm0000608,Burt Reynolds,['Drama']
nm0245652,Cordereau Dye,['Drama']
nm0000242,Mark Wahlberg,"['Crime', 'Drama', 'Romance']"
nm0001618,Joaquin Phoenix,"['Crime', 'Drama', 'Romance']"
nm0000234,Charlize Theron,"['Crime', 'Drama', 'Romance']"
nm0001001,James Caan,"['Crime', 'Drama', 'Romance']"
nm0000449,Natasha Henstridge,"['Comedy', 'Romance']"
nm0890232,Michael Vartan,"['Comedy', 'Romance']"
nm0728346,Michael Rispoli,"['Comedy', 'Romance']"
nm0001882,Olivia d'Abo,"['Comedy', 'Romance']"
nm0000243,Denzel Washington,"['Action', 'Crime', 'Drama']"
nm0000160,Ethan Hawke,"['Action', 'Crime', 'Drama']"
nm0001277,Scott Glenn,"['Action', 'Crime', 'Drama']"
nm0000297,Tom Berenger,"['Action', 'Crime', 'Drama']"
nm0001016,David Carradine,"['Drama', 'Music']"
nm0540585,Michael Maloney,"['Drama', 'Music']"
nm0000446,Mariel Hemingway,"['Drama', 'Music']"
nm0195672,Marina Anderson,"['Drama', 'Music']"
nm0497621,Julie Lee,"['Action', 'Thriller']"
nm0000514,Michael Madsen,"['Action', 'Thriller']"
nm0846480,Cary-Hiroyuki Tagawa,"['Action', 'Thriller']"
nm0368745,Richard Hatch,"['Action', 'Thriller']"
nm0000886,Warren Beatty,"['Comedy', 'Romance']"
nm0000473,Diane Keaton,"['Comedy', 'Romance']"
nm0000176,Nastassja Kinski,"['Comedy', 'Romance']"
nm0000443,Goldie Hawn,"['Comedy', 'Romance']"
nm0000190,Matthew McConaughey,"['Action', 'War']"
nm0000200,Bill Paxton,"['Action', 'War']"
nm0000172,Harvey Keitel,"['Action', 'War']"
nm0000954,Jon Bon Jovi,"['Action', 'War']"
nm0000978,Lloyd Bridges,"['Comedy', 'Romance']"
nm0001038,Josh Charles,"['Comedy', 'Romance']"
nm0005547,Alexandra Wentworth,"['Comedy', 'Romance']"
nm0000977,Beau Bridges,"['Comedy', 'Romance']"
nm0000288,Christian Bale,"['Crime', 'Drama', 'Horror']"
nm0857620,Justin Theroux,"['Crime', 'Drama', 'Horror']"
nm0524197,Josh Lucas,"['Crime', 'Drama', 'Horror']"
nm0756083,Bill Sage,"['Crime', 'Drama', 'Horror']"
nm0001287,Heather Graham,"['Comedy', 'Drama']"
nm0000729,Casey Affleck,"['Comedy', 'Drama']"
nm0005561,Luke Wilson,"['Comedy', 'Drama']"
nm0899681,Goran Visnjic,"['Comedy', 'Drama']"
nm0000552,Eddie Murphy,"['Comedy', 'Romance', 'Sci-Fi']"
nm0001390,Janet Jackson,"['Comedy', 'Romance', 'Sci-Fi']"
nm0588777,Larry Miller,"['Comedy', 'Romance', 'Sci-Fi']"
nm0018099,John Ales,"['Comedy', 'Romance', 'Sci-Fi']"
nm0025364,Alice Amter,"['Action', 'Adventure', 'Animation']"
nm0138421,Clint Carmichael,"['Action', 'Adventure', 'Animation']"
nm0000409,Brendan Fraser,"['Action', 'Adventure', 'Animation']"
nm0354937,Jennifer Hale,"['Action', 'Adventure', 'Animation']"
nm0000483,Christopher Lambert,"['Action', 'Adventure', 'Fantasy']"
nm0001600,Adrian Paul,"['Action', 'Adventure', 'Fantasy']"
nm0668271,Bruce Payne,"['Action', 'Adventure', 'Fantasy']"
nm0053887,Lisa Barbuscia,"['Action', 'Adventure', 'Fantasy']"
nm0001497,Tobey Maguire,"['Action', 'Adventure', 'Sci-Fi']"
nm0000379,Kirsten Dunst,"['Action', 'Adventure', 'Sci-Fi']"
nm0000353,Willem Dafoe,"['Action', 'Adventure', 'Sci-Fi']"
nm0290556,James Franco,"['Action', 'Adventure', 'Sci-Fi']"
